Row Labels,Area Method of Moments of MFCCs Overall Average,Area Method of Moments of MFCCs Overall Standard Deviation,Beat Sum Overall Average,Beat Sum Overall Standard Deviation,Compactness Overall Average,Compactness Overall Standard Deviation,Fraction Of Low Energy Windows Overall Average,Fraction Of Low Energy Windows Overall Standard Deviation,LPC Overall Average,LPC Overall Standard Deviation,Method of Moments Overall Average,Method of Moments Overall Standard Deviation,Root Mean Square Overall Average,Root Mean Square Overall Standard Deviation,Spectral Centroid Overall Average,Spectral Centroid Overall Standard Deviation,Spectral Flux Overall Average,Spectral Flux Overall Standard Deviation,Spectral Rolloff Point Overall Average,Spectral Rolloff Point Overall Standard Deviation,Spectral Variability Overall Average,Spectral Variability Overall Standard Deviation,Strength Of Strongest Beat Overall Average,Strength Of Strongest Beat Overall Standard Deviation,Strongest Beat Overall Average,Strongest Beat Overall Standard Deviation,Zero Crossings Overall Average,Zero Crossings Overall Standard Deviation,Grand Total
CHEERFUL001E.wav,2256272531,2561951034,16.82,0.5466,1651,203.1,0.6212,0.04301,-0.932648,2.161,54141342.88,13794241.58,0.02552,0.01527,58.43,49.33,0.00008792,0.00023,0.4212,0.3254,0.0006038,0.0003746,0.009345,0.0002792,184.4,39.24,127.7,89.86,4886161573
CHEERFUL001F.wav,22454211647,9301500516,0,0,1634,174,0.5282,0.0293,-0.4923937,1.8853,65755307.45,22124188.84,0.04424,0.02414,12.1,17.08,0.0001432,0.0003683,0.08079,0.1345,0.001146,0.0006327,0,0,0,0,33.15,33.92,31843593566
CHEERFUL002E.wav,95471844421,37075668661,14.25,1.038,1651,174.8,0.6345,0.02771,-0.81767,1.7637,47450975.11,9957657.791,0.0224,0.01018,65.12,43.03,0.00006014,0.0001012,0.487,0.2758,0.0004822,0.0002085,0.009123,0.00009934,207.5,27.2,145.4,73.87,1.33E+11
CHEERFUL002F.wav,2.32E+11,38958852466,0,0,1719,207.4,0.6217,0.02515,-0.327108,2.1139,51266145.54,22928449.01,0.04485,0.04379,23.32,28.81,0.0001727,0.0003364,0.1659,0.241,0.001179,0.001207,0,0,0,0,55.17,61.41,2.71E+11
CHEERFUL002G.wav,5.90E+11,1.89E+11,53.82,4.023,1674,183,0.5169,0.02467,-0.46088,1.9757,48621086.91,19884897.64,0.04597,0.01828,21.73,19.02,0.0001261,0.0001161,0.1357,0.1525,0.001165,0.000495,0.008996,0.0001583,218,10.1,51.91,38.75,7.80E+11
CHEERFUL003E.wav,1.27E+12,1.93E+11,13.02,0.7827,1656,163.7,0.5917,0.03129,-0.68883,2.4408,49524516.47,22358977.46,0.02091,0.01541,31.07,29.66,0.00006216,0.0001137,0.1811,0.2134,0.0005424,0.0004286,0.009318,0.0001028,105.1,14.34,68.75,53.95,1.47E+12
CHEERFUL003G.wav,2.55E+12,5.89E+11,25.24,2.651,1638,186.9,0.6401,0.04116,-0.6354,2.181,62824923.29,14395492.64,0.02902,0.02142,69.22,50.09,0.0001281,0.0003694,0.4767,0.3266,0.000675,0.00051,0.009088,0.0003293,147.4,75.95,148.2,85.56,3.14E+12
CHEERFUL004E.wav,4.86E+12,7.36E+11,19.84,1.289,1717,197.4,0.6441,0.05163,-0.78537,2.1342,54439329.38,19474845.81,0.02756,0.01736,29.83,38.58,0.00006295,0.0001348,0.215,0.2873,0.000686,0.0004723,0.009504,0.0003217,198.4,28.1,70.64,72.41,5.60E+12
CHEERFUL004F.wav,6.65E+12,2.58E+11,0,0,1680,208.4,0.5519,0.01649,-0.6128,2.1472,50936283.79,18929594.16,0.0242,0.008582,52.18,45.97,0.00004852,0.00005639,0.3818,0.3157,0.0005731,0.0002029,0,0,0,0,117.4,81.65,6.91E+12
CHEERFUL005E.wav,7.68E+12,3.43E+11,0,0,1685,211.6,0.5946,0.03385,-0.90973,2.1691,46448879.33,12768925.36,0.0274,0.0165,38.85,30.89,0.00007026,0.0001535,0.2927,0.2518,0.0006704,0.000395,0,0,0,0,93.37,60.68,8.02E+12
CHEERFUL005F.wav,9.28E+12,5.93E+11,24.83,0.2905,1699,174.3,0.6237,0.02647,-0.3352061,1.9266,43030948.29,13302921.15,0.03107,0.01959,44.17,27.04,0.000151,0.0002507,0.285,0.1929,0.0007401,0.0004655,0.009656,0.00008628,173.7,28.36,103.5,52.33,9.88E+12
CHEERFUL005G.wav,1.23E+13,1.21E+12,70.9,3.204,1650,174.8,0.6335,0.06147,-1.05784,1.673,69863022.07,13585254.67,0.04998,0.03277,24.44,25.65,0.0002693,0.0004897,0.1842,0.2407,0.001259,0.0009171,0.01068,0.0004614,220.5,0.8377,68.76,53.48,1.36E+13
CHEERFUL006E.wav,1.95E+13,3.08E+12,64.21,3.372,1602,161.3,0.5967,0.01955,-1.373604,1.6364,73378949.87,12869047.21,0.04928,0.02071,32.81,32.65,0.0001658,0.0002007,0.2666,0.3007,0.001193,0.000574,0.009552,0.000189,219.8,8.91,87.53,60.75,2.26E+13
CHEERFUL007E.wav,2.67E+13,9.24E+11,0,0,1681,185.3,0.616,0.06801,-0.11618,2.3898,52032167.63,29599388.2,0.07383,0.04865,49.07,52.58,0.0004375,0.0007409,0.2971,0.3202,0.001821,0.001241,0,0,0,0,106.5,103.8,2.77E+13
CHEERFUL007F.wav,3.11E+13,1.63E+12,84.11,14.73,1656,180.8,0.6941,0.03596,-0.76622,2.0204,56825382,21543709.72,0.05358,0.05792,30.28,40.09,0.0003705,0.000918,0.2125,0.2865,0.001365,0.001583,0.01135,0.0005312,212.8,36.19,74.56,78,3.27E+13
CHEERFUL007G.wav,4.53E+13,6.96E+12,129.7,14.49,1574,172.2,0.5656,0.03272,-1.07072,2.0291,66325069.03,17945312.99,0.0682,0.04277,25.82,35.95,0.0003498,0.0006013,0.1853,0.2848,0.001725,0.001157,0.009964,0.0005254,156,23.42,66.71,71.03,5.23E+13
CHEERFUL009E.wav,6.55E+13,4.43E+12,16.77,0.7478,1649,143.6,0.591,0.03958,-0.018232,1.9375,47240592.37,14218906.45,0.02629,0.01498,43.53,33.49,0.00006955,0.0001108,0.2698,0.2446,0.0006386,0.0004153,0.009267,0.0002937,142.4,59.75,95.58,64.72,7.00E+13
CHEERFUL009G.wav,7.86E+13,3.02E+12,28.33,3.63,1614,175,0.6226,0.03421,-1.512843,2.1482,61634040.92,13627960.94,0.03308,0.01955,55.41,48.47,0.00008862,0.0001377,0.4349,0.3433,0.0008077,0.0005204,0.01058,0.0001097,143.1,3.411,119.6,87.21,8.16E+13
CHEERFUL010E.wav,9.22E+13,4.94E+12,20.37,6.85,1602,177.9,0.5905,0.05053,-0.30666,1.9161,49820132.38,13257327.27,0.02453,0.01692,67.01,56.51,0.00008949,0.0001471,0.4158,0.3426,0.0004922,0.0002786,0.01004,0.0004957,190.8,30.6,143.3,104.8,9.72E+13
CHEERFUL010F.wav,1.14E+14,7.85E+12,40.43,3.503,1706,180.9,0.6231,0.06031,-0.67502,2.5864,52202403.44,15288755.81,0.03803,0.0269,60.87,45.91,0.0001345,0.0002564,0.4006,0.3037,0.0009262,0.0006991,0.009189,0.0004905,184.4,52.99,133.5,85.64,1.22E+14
CHEERFUL011G.wav,1.38E+14,6.05E+12,13.9,0.7245,1653,170,0.6309,0.03339,-0.8566,1.8699,53058890.04,9202662.757,0.02253,0.01077,69.45,45.71,0.00005508,0.0001005,0.5138,0.2948,0.0005126,0.0002689,0.008937,0.0001419,175.6,30.96,156.4,81.57,1.44E+14
CHEERFUL012F.wav,1.64E+14,8.59E+12,39.76,5.805,1623,179.5,0.6097,0.03471,-0.63817,1.9285,64330341.36,17919848.26,0.03623,0.0276,18.74,23.5,0.0001008,0.0001792,0.1354,0.2149,0.0009219,0.0007337,0.009772,0.0004517,79.09,40.45,49.92,50.28,1.72E+14
CHEERFUL012G.wav,1.90E+14,6.46E+12,59.21,3.046,1682,215.8,0.6028,0.02464,-0.94539,1.8323,55541634.82,16923770.17,0.04731,0.02123,16.93,18.35,0.0001492,0.0001842,0.1229,0.1809,0.001208,0.0005937,0.009539,0.00009652,209.4,31.5,48.13,39.05,1.96E+14
CHEERFUL013G.wav,2.09E+14,4.72E+12,175.4,15.78,1589,196.2,0.4817,0.04261,-0.529369,1.6471,63591912.79,23337559.04,0.0811,0.06546,14.16,27.36,0.0008773,0.002876,0.09484,0.2124,0.002134,0.001883,0.01345,0.0001347,178.6,2.90E-14,37.29,55.5,2.14E+14
CHEERFUL014E.wav,2.29E+14,6.76E+12,140.1,9.679,1671,252.2,0.5265,0.01824,-1.15265,2.65,75065565.21,26440901.43,0.06861,0.04171,27.8,40.2,0.0003373,0.00067,0.1828,0.2753,0.001783,0.001169,0.01023,0.0001211,179.4,49.26,63.1,70.22,2.36E+14
CHEERFUL015E.wav,2.49E+14,4.70E+12,0,0,1621,200.7,0.5655,0.05329,-0.55919,2.4128,60702420.32,18582658.45,0.04499,0.04086,41.6,50.19,0.0002345,0.000516,0.2649,0.3113,0.001133,0.001122,0,0,0,0,89.67,89.71,2.54E+14
CHEERFUL017G.wav,2.72E+14,8.86E+12,224.8,6.524,1629,172.1,0.6987,0.02561,-0.854272,1.29433,65047289.99,17327529.59,0.09289,0.0577,13.2,11.52,0.001547,0.003655,0.0886,0.1128,0.002306,0.001665,0.01021,0.0001811,108.6,49.72,40.43,28.48,2.81E+14
CHEERFUL020G.wav,3.00E+14,7.39E+12,46.32,1.123,1654,208.5,0.58,0.03946,-1.37666,2.4793,69494479.19,20466369.87,0.04236,0.02101,57.37,51.55,0.0002117,0.0003897,0.4234,0.3462,0.001004,0.0005128,0.009537,0.0001785,163.3,2.475,126.3,88.81,3.08E+14
CHEERFUL021G.wav,3.27E+14,7.82E+12,54.61,1.7,1672,171.3,0.628,0.03797,-1.22148,1.9368,59316521,10806917.5,0.04742,0.02753,57.11,46.8,0.0002219,0.0004419,0.4266,0.3056,0.001121,0.0007267,0.009091,0.0002549,183.6,53.47,125.8,83.06,3.34E+14
CHEERFUL039G.wav,3.64E+14,1.39E+13,24.94,2.722,1662,163.2,0.604,0.0366,-0.3166,1.6096,51120430.7,14426443.73,0.02864,0.01059,33.43,20.15,0.00006598,0.00006344,0.2202,0.1666,0.0007,0.0002981,0.009113,0.000141,220.1,3.971,82.16,42.38,3.78E+14
CHEERFUL040G.wav,3.99E+14,6.45E+12,0,0,1600,172.9,0.6516,0.06868,-0.35999,1.6596,73332057.45,13885920.73,0.02993,0.02306,20.01,19.96,0.00006535,0.0001375,0.1213,0.1936,0.0007593,0.0006314,0,0,0,0,53.88,44.5,4.06E+14
CHEERFUL041G.wav,4.76E+14,3.88E+13,21.66,7.992,1672,171.4,0.5662,0.06271,-0.38075,2.2591,47686893.8,21558759.55,0.02883,0.01627,33.13,27.22,0.00005657,0.00009442,0.2188,0.2313,0.0007217,0.0004386,0.009603,0.0005197,203.9,31.01,76.54,53.2,5.15E+14
CHEERFUL045G.wav,5.90E+14,2.67E+13,24.66,2.438,1705,187.3,0.6601,0.03806,-0.38922,2.0013,67118317.27,18098303.63,0.03222,0.02283,55.04,40.14,0.0001043,0.000185,0.3992,0.2999,0.0007758,0.0006251,0.009965,0.0004708,195.3,21.45,120.7,74.18,6.17E+14
CHEERFUL047G.wav,6.81E+14,2.58E+13,19.29,2.063,1707,204.2,0.5857,0.02646,-0.67606,2.2332,54424225.84,18455183.63,0.02665,0.01384,39.29,41.61,0.00006211,0.0001116,0.2826,0.3059,0.0006448,0.000347,0.009683,0.0001799,182.4,48.49,93.48,78.94,7.07E+14
CHEERFUL049G.wav,7.77E+14,2.95E+13,15.29,2.334,1559,150.5,0.6648,0.06862,-1.454766,1.5085,56144677.19,11553671.72,0.02459,0.0168,65.14,45.41,0.0001114,0.0003108,0.52,0.2902,0.0005332,0.0004046,0.009752,0.0006136,200.3,22.14,151.4,77.69,8.07E+14
CHEERFUL051G.wav,8.45E+14,9.23E+12,0,0,1649,146.6,0.6839,0.05995,-0.91196,1.5817,51489034.92,7502905.343,0.02209,0.01306,54.2,36.24,0.00007445,0.0002135,0.4169,0.2519,0.0004728,0.0002654,0,0,0,0,128.8,63.14,8.54E+14
CHEERFUL052G.wav,8.97E+14,2.10E+13,32.08,3.705,1614,155.8,0.5913,0.03464,-1.05383,2.0269,66796064.49,14024362.12,0.03488,0.0191,39.67,43.47,0.0001473,0.0003323,0.2887,0.3087,0.0008272,0.0004364,0.009189,0.0002374,173.6,59.33,95.81,81.65,9.18E+14
CHEERFUL053G.wav,9.80E+14,2.69E+13,17.99,1.573,1651,153.1,0.6797,0.03725,-0.91076,2.1622,55763881.5,14222387.28,0.02731,0.01575,74.11,42.35,0.00009863,0.0002134,0.5075,0.2559,0.0006069,0.0003677,0.009502,0.00028,193.4,36.75,161.9,73.98,1.01E+15
CHEERFUL054G.wav,1.08E+15,3.19E+13,18.11,3.309,1622,168.6,0.6463,0.06116,-0.48513,2.2714,54460980.92,13405100.52,0.02679,0.01529,60.97,44.91,0.000115,0.0002807,0.4055,0.2826,0.0006042,0.0003466,0.009277,0.0001933,191.5,22.98,140,81.4,1.11E+15
CHEERFUL055G.wav,1.20E+15,3.77E+13,14.82,2.641,1585,145.3,0.6316,0.03499,-1.06062,2.06,62888120.59,14744315.5,0.02367,0.01227,48.52,43.22,0.00004992,0.00007878,0.3554,0.307,0.0005558,0.0003135,0.009238,0.0002081,195.1,39.76,116.6,78.23,1.24E+15
CHEERFUL061G.wav,1.41E+15,8.23E+13,96.78,28.77,1604,167.9,0.6827,0.05574,-0.53223,1.76428,75774998.73,23739707.02,0.0567,0.03437,9.183,11.38,0.0003717,0.001105,0.05051,0.1127,0.001471,0.0009592,0.009714,0.0002563,147.8,25.91,29.95,27.11,1.49E+15
CHEERFUL063G.wav,1.61E+15,3.54E+13,77.62,9.688,1595,160.9,0.5498,0.02208,-0.79576,1.9362,53448380.19,15075473.51,0.05001,0.03831,26.56,33.71,0.000226,0.0005008,0.1683,0.2243,0.001288,0.001056,0.01198,0.0009319,129.3,5.41E-13,64.3,64.85,1.65E+15
CHEERFUL065G.wav,1.75E+15,4.17E+13,80.74,10.1,1550,156.4,0.6845,0.08329,-1.07361,2.0175,77906052.44,25207986.3,0.05964,0.06895,50.98,56.28,0.000367,0.001171,0.3453,0.3689,0.00151,0.001867,0.01107,0.0009532,101.3,66.09,110.7,105.6,1.79E+15
CHEERFUL067G.wav,1.86E+15,2.50E+13,42.85,3.517,1685,188.9,0.5143,0.06716,-1.32194,1.9669,60638144.93,22231596.34,0.04135,0.01172,23.31,30.84,0.00006844,0.0001492,0.1842,0.289,0.001035,0.000277,0.009224,0.00008735,220.6,8.58E-14,60.43,61.54,1.89E+15
CHEERFUL070G.wav,2.01E+15,6.05E+13,22.29,4.389,1657,189.4,0.5796,0.05117,-0.39921,2.262,49190021.2,16601116.47,0.03176,0.02542,46.71,43.77,0.0001123,0.0002964,0.3248,0.3114,0.000775,0.0006698,0.00945,0.0002962,200.8,35.37,103.7,81.55,2.07E+15
CHEERFUL071G.wav,2.23E+15,6.74E+13,19.2,2.866,1698,179.8,0.5745,0.08701,-0.69683,1.9006,53292184.73,14147239.45,0.0256,0.01464,42.68,39.01,0.0000599,0.0001154,0.3074,0.2716,0.0006182,0.0003694,0.009339,0.00027,198.7,39.36,98.79,72.85,2.30E+15
CHEERFUL072G.wav,2.45E+15,6.07E+13,29.85,2.336,1670,189.5,0.6086,0.05593,-0.58601,1.912,49241242.69,12556541.49,0.03262,0.01298,44.23,36.18,0.000115,0.0002207,0.3318,0.274,0.0007545,0.0003125,0.009273,0.0001592,219.5,7.758,105.7,65.22,2.51E+15
CHEERFUL073G.wav,2.72E+15,9.49E+13,11.45,4.351,1705,206.1,0.6416,0.04288,-0.64157,2.0809,50432029.47,15278905.89,0.02051,0.01352,54.18,47.37,0.00006247,0.0001888,0.3776,0.2993,0.0004714,0.0003099,0.009361,0.0002577,163.1,40.13,120.6,85.07,2.81E+15
CHEERFUL076G.wav,2.95E+15,3.71E+13,27.41,4.814,1638,206.5,0.5434,0.02794,-0.85057,2.1669,55251547.52,21802391.03,0.02886,0.01789,24.03,30.66,0.00005388,0.00008337,0.1708,0.2466,0.0007305,0.0004756,0.00992,0.000689,149,44.96,58.29,53.96,2.99E+15
CHEERFUL078G.wav,3.07E+15,3.15E+13,76.06,7.99,1688,194.5,0.5736,0.05532,-0.4012,1.793,22200079.67,20022606.29,0.04924,0.02808,27.95,23.1,0.0002139,0.0004208,0.1636,0.1515,0.001233,0.0007249,0.009507,0.000356,212,28.2,62.46,30.19,3.10E+15
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
