Sum of /data_set/feature/v,Column Labels,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row Labels,Area Method of Moments of MFCCs Overall Average,Area Method of Moments of MFCCs Overall Standard Deviation,Beat Sum Overall Average,Beat Sum Overall Standard Deviation,Compactness Overall Average,Compactness Overall Standard Deviation,Fraction Of Low Energy Windows Overall Average,Fraction Of Low Energy Windows Overall Standard Deviation,LPC Overall Average,LPC Overall Standard Deviation,Method of Moments Overall Average,Method of Moments Overall Standard Deviation,Root Mean Square Overall Average,Root Mean Square Overall Standard Deviation,Spectral Centroid Overall Average,Spectral Centroid Overall Standard Deviation,Spectral Flux Overall Average,Spectral Flux Overall Standard Deviation,Spectral Rolloff Point Overall Average,Spectral Rolloff Point Overall Standard Deviation,Spectral Variability Overall Average,Spectral Variability Overall Standard Deviation,Strength Of Strongest Beat Overall Average,Strength Of Strongest Beat Overall Standard Deviation,Strongest Beat Overall Average,Strongest Beat Overall Standard Deviation,Zero Crossings Overall Average,Zero Crossings Overall Standard Deviation,Grand Total
FEARFUL001G.wav,2.65774E+15,2.92331E+13,14.44,1.457,1667,192.7,0.5895,0.07492,-0.10302,1.5888,32063370.3,23545712.78,0.02904,0.02053,34.05,20.47,0.00005944,0.00009401,0.2074,0.1303,0.000709,0.0005251,0.01042,0.0005881,220.6,1.146E-13,78.03,42.78,2.68697E+15
FEARFUL002F.wav,2.75477E+15,2.64119E+13,21.3,0.3697,1636,176.7,0.6852,0.03301,-0.26216,2.0429,46258507.45,10287157.74,0.02778,0.01669,71.56,45.62,0.0001419,0.0003194,0.4928,0.2968,0.0006157,0.0003622,0.008933,0.00008054,206.4,33.52,152.8,81.76,2.78118E+15
FEARFUL002G.wav,2.82576E+15,1.45678E+13,0,0,1667,209.8,0.536,0.0145,-0.411706,1.49078,59457221.32,28839680.37,0.09881,0.05074,6.633,10.09,0.0005792,0.0008701,0.03772,0.0996,0.002595,0.001446,0,0,0,0,17.48,21.36,2.84032E+15
FEARFUL003F.wav,2.87074E+15,1.16507E+13,0,0,1675,202.4,0.6041,0.01394,-0.13515,1.5685,42372387.69,13113753.89,0.04039,0.01771,28.95,15.35,0.00006253,0.00005504,0.1761,0.1641,0.001014,0.000498,0,0,0,0,66.94,29.65,2.88239E+15
FEARFUL005G.wav,2.98273E+15,5.32798E+13,107.8,10.05,1596,174.1,0.5739,0.02965,-1.13142,1.5653,59840595.65,12694453.4,0.06664,0.04138,34.53,34.35,0.0006643,0.001326,0.2665,0.2775,0.001612,0.001153,0.009043,0.0002923,116.5,55.66,86.63,63.15,3.03601E+15
FEARFUL008F.wav,3.19971E+15,7.24513E+13,14.08,2.533,1600,181.8,0.6102,0.05438,-0.98743,2.1508,53756391.32,18058147.03,0.02262,0.01436,56.46,52.97,0.00004468,0.00007734,0.4056,0.3421,0.0005368,0.0003776,0.009134,0.0003112,142.8,59.77,126.2,96.5,3.27216E+15
FEARFUL010G.wav,3.54367E+15,1.27531E+14,69.18,16.41,1589,163.2,0.5761,0.04004,-1.33568,1.7336,56640317.73,13733389.87,0.04761,0.02537,30.03,35.71,0.0002207,0.0003953,0.2249,0.2976,0.00117,0.0006994,0.00934,0.0002261,163.3,23.5,75.4,67.66,3.6712E+15
FEARFUL011G.wav,3.82362E+15,3.28435E+13,20.5,0.4119,1611,166.8,0.5887,0.03488,-1.082183,1.6991,52131670.95,9316135.551,0.02798,0.01602,41.5,35.85,0.00007269,0.0002343,0.3319,0.2715,0.0006497,0.000369,0.009666,0.0001851,168,3.56,103.1,65.67,3.85646E+15
FEARFUL012F.wav,3.97163E+15,5.28829E+13,21.1,0.443,1646,182.1,0.6357,0.03583,-1.03263,2.322,51413620.6,21492340.78,0.02818,0.01412,36.58,32.92,0.00006937,0.0001306,0.2761,0.2772,0.0006871,0.0003692,0.008957,0.0001737,124.8,37.76,87.95,60.79,4.02451E+15
FEARFUL012G.wav,4.17962E+15,6.74828E+13,13.94,1.165,1586,191.3,0.6327,0.05883,-0.88645,2.2065,60909479.31,12334227,0.02326,0.01143,51.97,48.25,0.00005869,0.0001052,0.3982,0.3467,0.000544,0.0002651,0.009157,0.0002576,192.6,22.99,117.3,87.1,4.2471E+15
FEARFUL013F.wav,4.37361E+15,4.40532E+13,31.6,1.694,1665,201.6,0.592,0.04683,-0.67323,2.1816,58161521.9,17050523.99,0.03175,0.02003,62.71,42.95,0.00008685,0.000157,0.4704,0.305,0.0007529,0.0005153,0.008957,0.0003836,178.4,59.53,138.6,78.48,4.41767E+15
FEARFUL014F.wav,4.51261E+15,3.66873E+13,51.1,1.158,1610,205.8,0.585,0.071,-0.85791,2.1961,58223285.43,26981195.8,0.04298,0.0212,28.53,30.99,0.0000686,0.00008953,0.2403,0.3044,0.001077,0.0005748,0.01001,0.00009308,220.6,8.689E-14,71.22,61.55,4.54929E+15
FEARFUL017F.wav,4.77559E+15,1.16304E+14,158.7,57.82,1603,144.6,0.6462,0.1031,-0.61802,1.6344,39958837.6,18943365.47,0.06998,0.05503,23.5,22.81,0.0006311,0.002484,0.1666,0.1956,0.001751,0.001538,0.01104,0.001898,159.2,46.66,60.4,48.57,4.8919E+15
FEARFUL017G.wav,5.04759E+15,3.95249E+13,64.32,1.166,1677,227.8,0.5889,0.0523,-1.10843,1.923,44008415.55,20503623.62,0.04906,0.02616,17.33,27.97,0.0001982,0.000417,0.1335,0.2353,0.001226,0.0006844,0.01016,0.00005216,121,1.448E-14,47.78,55.19,5.08711E+15
FEARFUL020F.wav,5.17757E+15,3.56245E+13,0,0,1643,176.2,0.6695,0.05029,-1.470389,1.8624,99302095.91,21247490.8,0.03279,0.02249,49.43,43.8,0.0000663,0.0001106,0.4191,0.3798,0.0007918,0.0006106,0,0,0,0,116.4,81.33,5.21319E+15
FEARFUL021F.wav,5.31756E+15,4.55928E+13,59.31,1.745,1543,212.3,0.5793,0.05857,-0.9539,2.2261,65487225.71,16871346.49,0.04874,0.02465,36.66,41.65,0.0001986,0.0004196,0.2439,0.2948,0.001211,0.0006764,0.009752,0.0001762,204.3,22,89.51,76.21,5.36315E+15
FEARFUL022F.wav,5.56851E+15,1.00128E+14,37.63,11.11,1669,187.5,0.6128,0.0458,-1.392596,2.3159,75241198.96,25027633.24,0.03783,0.02189,56.04,43.16,0.0001478,0.0002748,0.4393,0.3245,0.0009026,0.0005801,0.009734,0.0004364,189.7,15.07,133.6,80.3,5.66863E+15
FEARFUL022G.wav,5.83446E+15,5.33909E+13,33.18,0.9982,1592,150.5,0.638,0.02908,-0.573914,1.8208,49287492.56,10113060.97,0.03646,0.01954,67.56,45.7,0.0002147,0.0005498,0.4921,0.2864,0.0007774,0.0004014,0.009211,0.0002696,168.5,18.13,151,80.1,5.88785E+15
FEARFUL023G.wav,6.00348E+15,4.44002E+13,17.87,0.4762,1702,207.4,0.4856,0.01932,-0.22036,1.6389,46146439.55,11640847.37,0.02583,0.01422,79.88,41.5,0.00006997,0.0001662,0.533,0.2158,0.0005277,0.0002915,0.008751,0.0002191,85.4,1.674,168.4,72.77,6.04788E+15
