Sum of /data_set/feature/v,Column Labels,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row Labels,Area Method of Moments of MFCCs Overall Average,Area Method of Moments of MFCCs Overall Standard Deviation,Beat Sum Overall Average,Beat Sum Overall Standard Deviation,Compactness Overall Average,Compactness Overall Standard Deviation,Fraction Of Low Energy Windows Overall Average,Fraction Of Low Energy Windows Overall Standard Deviation,LPC Overall Average,LPC Overall Standard Deviation,Method of Moments Overall Average,Method of Moments Overall Standard Deviation,Root Mean Square Overall Average,Root Mean Square Overall Standard Deviation,Spectral Centroid Overall Average,Spectral Centroid Overall Standard Deviation,Spectral Flux Overall Average,Spectral Flux Overall Standard Deviation,Spectral Rolloff Point Overall Average,Spectral Rolloff Point Overall Standard Deviation,Spectral Variability Overall Average,Spectral Variability Overall Standard Deviation,Strength Of Strongest Beat Overall Average,Strength Of Strongest Beat Overall Standard Deviation,Strongest Beat Overall Average,Strongest Beat Overall Standard Deviation,Zero Crossings Overall Average,Zero Crossings Overall Standard Deviation,Grand Total
 LOVE001F.wav,10667402006,12122621852,21.13,7.498,1618,248.7,0.6006,0.07651,-0.40408,2.1298,56512899.72,17012969.09,0.03141,0.01921,44.47,31.28,0.00009704,0.0002141,0.301,0.2573,0.0007463,0.0004774,0.009754,0.0004643,200.7,36.23,100.1,56.37,22863552094
 LOVE001G.wav,62701945245,12542239172,0,0,1783,241,0.5779,0.02495,-0.10894,1.46573,10036644.15,11154053.08,0.06484,0.01379,14.36,5.468,0.00009816,0.0001576,0.09533,0.07174,0.001661,0.0003959,0,0,0,0,35.09,15.64,75265377211
 LOVE002E.wav,1.51E+11,42014205422,20.35,0.6431,1629,186.9,0.6717,0.07798,-1.03589,2.0033,57082813.39,12465066.31,0.02974,0.01783,70.65,48.51,0.0001307,0.0003772,0.5107,0.2892,0.000662,0.000397,0.009392,0.0001696,129.9,21.35,154.9,83.49,1.93E+11
 LOVE002F.wav,4.09E+11,1.15E+11,39.7,6.63,1771,170,0.5994,0.06255,-0.383038,1.7267,43103142.07,11780638.11,0.03599,0.01525,46.23,32.4,0.0001204,0.0002112,0.3018,0.2155,0.0008382,0.0003443,0.009302,0.0001149,210.4,16.78,106.7,60.09,5.24E+11
 LOVE003G.wav,7.28E+11,59055906339,0,0,1691,223.3,0.4731,0.08591,-0.16554,1.8429,29322976.47,9575781.46,0.07266,0.03211,43.82,32.75,0.0004917,0.0008666,0.2433,0.1967,0.001836,0.0009243,0,0,0,0,94.66,64.44,7.87E+11
 LOVE004E.wav,1.42E+12,3.81E+11,53.07,13.01,1654,172.7,0.6419,0.04217,-0.69252,1.9538,52850683.46,10577339.88,0.04241,0.03005,58.74,50.77,0.0002728,0.0006636,0.4135,0.3108,0.0009553,0.0006428,0.009379,0.0003547,170.3,27.44,130.8,91.79,1.81E+12
 LOVE004G.wav,2.63E+12,2.88E+11,23.96,2.459,1645,220.9,0.6693,0.06106,-0.5565,2.3339,52008373.26,14800774.32,0.03441,0.02783,68.75,55.5,0.0002217,0.0006358,0.4573,0.3218,0.0007663,0.0006027,0.009965,0.000258,207.7,4.529,147.6,100.7,2.92E+12
 LOVE005E.wav,4.47E+12,8.19E+11,84.93,18.47,1653,191.1,0.6508,0.04087,-0.604936,1.9296,56900763.16,14279524.03,0.05563,0.03935,59.33,48.84,0.00058,0.001637,0.4035,0.3075,0.001228,0.0008247,0.009604,0.0005538,157.2,23.25,133.2,86.32,5.29E+12
 LOVE005F.wav,6.70E+12,4.24E+11,0,0,1638,176.2,0.5381,0.0279,-0.47224,1.7466,68452288.88,18926368.79,0.0188,0.006986,69.19,40.76,0.00002403,0.00002383,0.5038,0.2723,0.0004083,0.0001858,0,0,0,0,154.5,72.91,7.12E+12
 LOVE005G.wav,1.04E+13,1.80E+12,25.5,3.404,1620,183.4,0.6301,0.05553,-0.5422,2.1002,54576779.9,17712555.07,0.02983,0.01805,25.31,29.77,0.00007406,0.0001589,0.1856,0.2613,0.0007412,0.0004714,0.009839,0.0005959,168.6,45.94,63.63,61.25,1.21E+13
