Algorithm , Dataset , Test Accuracy , F1-Score , Precision , Recall , ROC-AUC  
AdaBoost , Imbalanced , 71.43% ,0.65 ,0.60 ,0.71 ,0.45 
 , Random Oversampling ,71.43% ,0.65 ,0.60 ,0.71 ,0.45 
 , SMOTE , 78.57% ,0.69 ,0.62 ,0.79 ,0.50  
Decision Tree , Imbalanced , 78.57% ,0.69 ,0.62 ,0.79 ,0.50 
 , Random Oversampling ,50.00% ,0.54 ,0.62 ,0.50 ,0.44  
 , SMOTE ,64.29% ,0.66 ,0.68 ,0.64 ,0.53  
 LinearSVC , Imbalanced , 71.43% ,0.60 ,0.51 ,0.71 ,0.50 
 , Random Oversampling , 71.43% ,0.60 ,0.51 ,0.71 ,0.50 
 , SMOTE , 71.43% ,0.60 ,0.51 ,0.71 ,0.50  
NuSVC , Imbalanced ,71.43%, 0.71 , 0.71 , 0.71 , 0.58 
 , Random Oversampling ,78.57%, 0.77 , 0.76 , 0.79 , 0.62 
 , SMOTE ,85.71%, 0.83 , 0.88, 0.86 , 0.67 
SVC , Imbalanced ,78.57%, 0.77 , 0.76 , 0.79 , 0.62 
 , Random Oversampling ,78.57%, 0.69 , 0.62 , 0.79 , 0.50 
 , SMOTE ,78.57%, 0.69 , 0.62 , 0.79 , 0.50  
