Varp of /data_set/feature/v,Column Labels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row Labels,Derivative of Method of Moments Overall Average,Derivative of Method of Moments Overall Standard Deviation,Derivative of Partial Based Spectral Centroid Overall Average,Derivative of Partial Based Spectral Centroid Overall Standard Deviation,Derivative of Partial Based Spectral Flux Overall Average,Derivative of Partial Based Spectral Flux Overall Standard Deviation,Derivative of Peak Based Spectral Smoothness Overall Average,Derivative of Peak Based Spectral Smoothness Overall Standard Deviation,Derivative of Relative Difference Function Overall Average,Derivative of Relative Difference Function Overall Standard Deviation,Derivative of Running Mean of Method of Moments Overall Average,Derivative of Running Mean of Method of Moments Overall Standard Deviation,Derivative of Running Mean of Partial Based Spectral Centroid Overall Average,Derivative of Running Mean of Partial Based Spectral Centroid Overall Standard Deviation,Derivative of Running Mean of Partial Based Spectral Flux Overall Average,Derivative of Running Mean of Partial Based Spectral Flux Overall Standard Deviation,Derivative of Running Mean of Peak Based Spectral Smoothness Overall Average,Derivative of Running Mean of Peak Based Spectral Smoothness Overall Standard Deviation,Derivative of Running Mean of Relative Difference Function Overall Average,Derivative of Running Mean of Relative Difference Function Overall Standard Deviation,Derivative of Standard Deviation of Method of Moments Overall Average,Derivative of Standard Deviation of Method of Moments Overall Standard Deviation,Derivative of Standard Deviation of Partial Based Spectral Centroid Overall Average,Derivative of Standard Deviation of Partial Based Spectral Centroid Overall Standard Deviation,Derivative of Standard Deviation of Partial Based Spectral Flux Overall Average,Derivative of Standard Deviation of Partial Based Spectral Flux Overall Standard Deviation,Derivative of Standard Deviation of Peak Based Spectral Smoothness Overall Average,Derivative of Standard Deviation of Peak Based Spectral Smoothness Overall Standard Deviation,Derivative of Standard Deviation of Relative Difference Function Overall Average,Derivative of Standard Deviation of Relative Difference Function Overall Standard Deviation,Method of Moments Overall Average,Method of Moments Overall Standard Deviation,Partial Based Spectral Centroid Overall Average,Partial Based Spectral Centroid Overall Standard Deviation,Partial Based Spectral Flux Overall Average,Partial Based Spectral Flux Overall Standard Deviation,Peak Based Spectral Smoothness Overall Average,Peak Based Spectral Smoothness Overall Standard Deviation,Peak Detection Overall Average,Peak Detection Overall Standard Deviation,Relative Difference Function Overall Average,Relative Difference Function Overall Standard Deviation,Running Mean of Method of Moments Overall Average,Running Mean of Method of Moments Overall Standard Deviation,Running Mean of Partial Based Spectral Centroid Overall Average,Running Mean of Partial Based Spectral Centroid Overall Standard Deviation,Running Mean of Partial Based Spectral Flux Overall Average,Running Mean of Partial Based Spectral Flux Overall Standard Deviation,Running Mean of Peak Based Spectral Smoothness Overall Average,Running Mean of Peak Based Spectral Smoothness Overall Standard Deviation,Running Mean of Relative Difference Function Overall Average,Running Mean of Relative Difference Function Overall Standard Deviation,Standard Deviation of Method of Moments Overall Average,Standard Deviation of Method of Moments Overall Standard Deviation,Standard Deviation of Partial Based Spectral Centroid Overall Average,Standard Deviation of Partial Based Spectral Centroid Overall Standard Deviation,Standard Deviation of Partial Based Spectral Flux Overall Average,Standard Deviation of Partial Based Spectral Flux Overall Standard Deviation,Standard Deviation of Peak Based Spectral Smoothness Overall Average,Standard Deviation of Peak Based Spectral Smoothness Overall Standard Deviation,Standard Deviation of Relative Difference Function Overall Average,Standard Deviation of Relative Difference Function Overall Standard Deviation,Grand Total
D:\Baya\Thesis\Data\data\BRAVERY001E.wav,239988778.6,2.69035E+13,0,0,0,0,0,0,0,0,18878952.26,9570725322,0,0,0,0,0,0,0,0,2223442876,1.12999E+12,0,0,0,0,0,0,0,0,4.73982E+14,4.32368E+13,0,0,0,0,0,0,4.20345E-07,7.9376E-07,0,0,4.87132E+14,2.22262E+12,0,0,0,0,0,0,0,0,5.71079E+16,2.6253E+14,0,0,0,0,0,0,0,0,1.60447E+15
D:\Baya\Thesis\Data\data\BRAVERY001F.wav,245454210.6,2.42906E+13,0,0,0,0,0,0,0,0,22866961.26,7474339960,0,0,0,0,0,0,0,0,2282828526,7.4739E+11,0,0,0,0,0,0,0,0,5.2339E+14,3.60649E+13,0,0,0,0,0,0,1.59376E-06,,0,0,5.14446E+14,4.88155E+12,0,0,0,0,0,0,0,0,5.14088E+16,4.88324E+14,0,0,0,0,0,0,0,0,2.27526E+15
D:\Baya\Thesis\Data\data\BRAVERY001G.wav,8319807.496,2.27396E+13,0,0,0,0,0,0,0,0,130867918.9,4691689472,0,0,0,0,0,0,0,0,13085928602,4.68585E+11,0,0,0,0,0,0,0,0,4.57947E+14,2.55175E+13,0,0,0,0,0,0,2.65754E-06,0,0,0,4.55783E+14,3.60989E+11,0,0,0,0,0,0,0,0,4.55446E+16,3.61405E+13,0,0,0,0,0,0,0,0,1.98663E+15
D:\Baya\Thesis\Data\data\BRAVERY002E.wav,437943046.8,2.29852E+13,0,0,0,0,0,0,0,0,328950761.5,10802288243,0,0,0,0,0,0,0,0,32822569779,1.08022E+12,0,0,0,0,0,0,0,0,4.65157E+14,5.83495E+13,0,0,0,0,0,0,8.65497E-07,5.20529E-06,0,0,4.56267E+14,5.47847E+12,0,0,0,0,0,0,0,0,4.55756E+16,5.48403E+14,0,0,0,0,0,0,0,0,1.87051E+15
D:\Baya\Thesis\Data\data\BRAVERY002F.wav,72796024.33,1.55867E+13,0,0,0,0,0,0,0,0,31589372.3,6091541106,0,0,0,0,0,0,0,0,3154548783,6.09139E+11,0,0,0,0,0,0,0,0,4.6759E+14,2.89761E+13,0,0,0,0,0,0,2.7668E-06,,0,0,4.76998E+14,5.69265E+12,0,0,0,0,0,0,0,0,4.7665E+16,5.69063E+14,0,0,0,0,0,0,0,0,2.18932E+15
D:\Baya\Thesis\Data\data\BRAVERY002G.wav,749059488.5,1.84917E+13,0,0,0,0,0,0,0,0,137800262.8,3990939852,0,0,0,0,0,0,0,0,13694869976,3.99078E+11,0,0,0,0,0,0,0,0,3.31702E+14,3.44614E+13,0,0,0,0,0,0,1.19142E-06,1.96993E-06,0,0,3.48231E+14,5.27117E+11,0,0,0,0,0,0,0,0,3.47935E+16,5.25351E+13,0,0,0,0,0,0,0,0,1.23329E+15
D:\Baya\Thesis\Data\data\BRAVERY003E.wav,44748248.3,3.09475E+13,0,0,0,0,0,0,0,0,34038355.37,10220600446,0,0,0,0,0,0,0,0,3996431193,1.20578E+12,0,0,0,0,0,0,0,0,5.61158E+14,5.41779E+13,0,0,0,0,0,0,4.41539E-07,,0,0,5.70938E+14,1.12292E+13,0,0,0,0,0,0,0,0,6.69351E+16,1.32604E+15,0,0,0,0,0,0,0,0,2.49603E+15
D:\Baya\Thesis\Data\data\BRAVERY003F.wav,316602108.9,1.65206E+13,0,0,0,0,0,0,0,0,41029880.86,7216643316,0,0,0,0,0,0,0,0,4113217463,7.21654E+11,0,0,0,0,0,0,0,0,3.38054E+14,3.61424E+13,0,0,0,0,0,0,3.70671E-07,,0,0,3.39946E+14,1.42775E+12,0,0,0,0,0,0,0,0,3.39652E+16,1.42965E+14,0,0,0,0,0,0,0,0,1.53978E+15
D:\Baya\Thesis\Data\data\BRAVERY003G.wav,469458645.3,5.86766E+13,0,0,0,0,0,0,0,0,516693122,26446559345,0,0,0,0,0,0,0,0,51926093448,2.65368E+12,0,0,0,0,0,0,0,0,4.85934E+14,1.19544E+14,0,0,0,0,0,0,2.57417E-06,5.87889E-06,0,0,4.46213E+14,4.24213E+12,0,0,0,0,0,0,0,0,4.44868E+16,4.25524E+14,0,0,0,0,0,0,0,0,1.70535E+15
D:\Baya\Thesis\Data\data\BRAVERY004E.wav,40904115.32,3.31182E+13,0,0,0,0,0,0,0,0,212011884.9,9750979677,0,0,0,0,0,0,0,0,25116201616,1.14941E+12,0,0,0,0,0,0,0,0,4.41958E+14,6.35198E+13,0,0,0,0,0,0,7.84085E-07,5.0712E-06,0,0,4.35271E+14,7.5098E+12,0,0,0,0,0,0,0,0,5.10096E+16,8.8722E+14,0,0,0,0,0,0,0,0,1.54652E+15
D:\Baya\Thesis\Data\data\BRAVERY004F.wav,1991067378,6.49766E+13,0,0,0,0,0,0,0,0,5966943415,33717920938,0,0,0,0,0,0,0,0,5.97311E+11,3.38057E+12,0,0,0,0,0,0,0,0,4.21859E+14,1.78465E+14,0,0,0,0,0,0,5.50458E-06,1.54614E-05,0,0,2.91751E+14,6.37818E+12,0,0,0,0,0,0,0,0,2.8998E+16,6.39435E+14,0,0,0,0,0,0,0,0,1.4173E+15
D:\Baya\Thesis\Data\data\BRAVERY004G.wav,9996693.023,3.18535E+13,0,0,0,0,0,0,0,0,3340295.632,12987468526,0,0,0,0,0,0,0,0,362088643.6,1.53357E+12,0,0,0,0,0,0,0,0,4.24444E+14,6.43713E+13,0,0,0,0,0,0,7.63139E-07,2.58857E-06,0,0,4.08483E+14,4.0718E+12,0,0,0,0,0,0,0,0,4.78524E+16,4.81179E+14,0,0,0,0,0,0,0,0,1.64894E+15
D:\Baya\Thesis\Data\data\BRAVERY005E.wav,2265139918,2.65342E+13,0,0,0,0,0,0,0,0,8282969103,4340161399,0,0,0,0,0,0,0,0,8.30431E+11,4.34012E+11,0,0,0,0,0,0,0,0,4.96414E+14,7.91914E+13,0,0,0,0,0,0,1.30486E-06,3.59554E-06,0,0,5.25223E+14,5.49443E+11,0,0,0,0,0,0,0,0,5.24311E+16,5.5119E+13,0,0,0,0,0,0,0,0,1.50152E+15
D:\Baya\Thesis\Data\data\BRAVERY005F.wav,411229569.7,3.51762E+13,0,0,0,0,0,0,0,0,402394781.2,12606195479,0,0,0,0,0,0,0,0,40603087836,1.26504E+12,0,0,0,0,0,0,0,0,3.45252E+14,6.97111E+13,0,0,0,0,0,0,4.12485E-07,7.67703E-07,0,0,3.7668E+14,9.62203E+11,0,0,0,0,0,0,0,0,3.7591E+16,9.69129E+13,0,0,0,0,0,0,0,0,1.3641E+15
