Filename,Tempo,Arousal,IsMajor,isMinor,IsDissonant,Theme
FEARFUL011G.wav,1,1,0,1,0,fearful
CHEERFUL013G.wav,2,2,1,0,0,sadness
FEARFUL022G.wav,1,1,1,0,0,fearful
CALM017G.wav,2,1,1,0,0,love
CHEERFUL044G.wav,2,1,1,0,0,fearful
CALMF033.wav,2,2,1,0,0,bravery
BRAVERY015G.wav,1,1,1,0,0,bravery
LOVE021G.wav,2,2,0,1,0,fearful
BRAVERY003G.wav,2,2,0,0,1,love
BRAVERY009E.wav,2,1,1,0,0,calm
CHEERFUL052G.wav,1,1,1,0,0,sadness
SADNESS017G.wav,2,1,1,0,0,fearful
FEARFUL004G.wav,2,1,0,1,0,bravery
LOVE034G.wav,2,1,1,0,0,love
FEARFUL010F.wav,2,1,0,1,0,fearful
SADNESSF007.wav,2,2,1,0,0,fearful
FEARFUL038G.wav,2,2,0,1,0,calm
SADNESS018G.wav,2,2,1,0,0,calm
LOVE058G.wav,2,2,0,0,1,fearful
CALMF017.wav,2,2,1,0,0,fearful
CALM013G.wav,2,1,0,0,1,bravery
FEARFUL016G.wav,2,1,0,1,0,love
FEARFUL006G.wav,2,2,1,0,0,cheerful
CALM009G,2,2,1,0,0,fearful
CHEERFUL014G.wav,1,2,0,1,0,love
SADNESS005G.wav,1,1,1,0,0,calm
CALMF035.wav,2,2,1,0,0,bravery
CHEERFUL040G.wav,2,2,1,0,0,love
LOVE002G.wav,1,1,1,0,0,love
BRAVERYF015.wav,2,2,1,0,0,calm
CALMF002.wav,2,1,0,0,0,cheerful
SADNESSF010.wav,2,1,0,1,0,love
CHEERFUL033G.wav,2,2,1,0,0,love
CHEERFUL036G.wav,1,1,1,0,0,calm
BRAVERYF010.wav,2,1,0,1,0,fearful
CALM003G.wav,2,2,1,0,0,fearful
LOVE022G.wav,2,2,0,1,0,calm
FEARFUL028G.wav,2,1,0,1,0,bravery
CHEERFUL025G.wav,2,1,1,0,0,cheerful
CALMF015.wav,2,1,0,1,0,cheerful
CALM002G.wav,2,2,0,1,0,bravery
SADNESS013G.wav,2,2,1,0,0,love
BRAVERY004E.wav,1,1,0,1,0,calm
CHEERFUL042G.wav,1,1,1,0,0,cheerful
BRAVERY005F.wav,2,2,1,0,0,love
CHEERFUL023G.wav,2,1,1,0,0,fearful
LOVE033G.wav,2,2,1,0,0,fearful
CHEERFUL010G.wav,2,1,1,0,0,
SADNESS014G.wav,2,2,1,0,0,bravery
FEARFUL040G.wav,2,1,0,1,0,
FEARFUL037G.wav,1,1,0,1,0,calm
BRAVERY007G.wav,1,1,1,0,0,love
CHEERFUL043G.wav,2,2,1,0,0,bravery
BRAVERY029G.wav,2,2,0,0,1,love
SADNESS002G.wav,1,1,0,1,0,sadness
FEARFUL018G.wav,2,1,0,1,0,sadness
SADNESS024G.wav,2,2,0,1,0,
FEARFUL010G.wav,1,1,0,1,0,cheerful
CHEERFUL003G.wav,2,1,1,0,0,love
FEARFUL006F.wav,2,2,0,1,0,
CHEERFUL059G.wav,1,1,1,0,0,cheerful
FEARFUL008G.wav,2,1,0,1,0,
CHEERFUL012G.wav,1,1,1,0,0,fearful
FEARFUL020F.wav,1,1,1,0,0,calm
LOVE049G.wav,2,1,1,0,0,love
CALM008G.wav,2,2,1,0,0,cheerful
CHEERFUL054G.wav,1,1,1,0,0,calm
SADNESS022G.wav,2,2,0,1,0,fearful
CHEERFUL016G.wav,1,1,1,0,0,calm
BRAVERY001E.wav,1,1,0,1,0,
CALMF039.wav,2,2,0,0,1,cheerful
FEARFUL009G.wav,2,2,0,1,0,calm
CHEERFUL041G.wav,1,1,1,0,0,fearful
FEARFUL013F.wav,2,1,0,1,0,love
FEARFUL002G.wav,1,1,0,1,0,fearful
CALM012G.wav,2,2,1,0,0,calm
LOVE044G.wav,2,2,1,0,0,love
CALMF024.wav,2,2,0,0,1,
CHEERFUL038G.wav,2,2,1,0,0,calm
BRAVERY027G.wav,1,1,1,0,0,cheerful
CHEERFUL055G.wav,2,2,1,0,0,sadness
CHEERFUL007G.wav,1,1,1,0,0,calm
CALM021G.wav,2,1,0,1,0,
SADNESS012G.wav,2,2,1,0,0,love
FEARFUL035G.wav,2,1,0,1,0,bravery
FEARFUL039G.wav,1,1,0,1,0,love
SADNESSF008.wav,2,2,0,1,0,fearful
SADNESS004G.wav,2,2,0,1,0,calm
FEARFUL001G.wav,2,1,0,0,1,love
BRAVERY020G.wav,2,2,0,1,0,
FEARFUL012G.wav,1,1,1,0,0,bravery
BRAVERY005E.wav,2,2,1,0,0,fearful
LOVE005G.wav,2,2,1,0,0,calm
BRAVERY011G.wav,2,2,0,1,0,fearful
LOVE007G.wav,2,2,0,0,1,fearful
CHEERFUL015G.wav,2,2,1,0,0,fearful
LOVE045G.wav,2,2,1,0,0,cheerful
BRAVERY010G.wav,2,2,1,0,0,
LOVE023G.wav,2,2,0,0,1,
BRAVERYF013.wav,1,1,1,0,0,calm
LOVE001G.wav,2,2,0,1,0,love
CALMF004.wav,2,2,0,0,1,calm
